rok,dziedzina,poczta,wojewodztwo,lng,lat
1999,grupa #01,Kraków,małopolskie,19.943,50.062
1999,grupa #02,Katowice,śląskie,19.023,50.276
1999,grupa #06,Sosnowiec,śląskie,19.176,50.267
1999,grupa #07,Częstochowa,śląskie,19.120,50.812
1999,grupa #04,Mielec,podkarpackie,21.424,50.287
1999,grupa #02,Warszawa,mazowieckie,21.003,52.238
1999,grupa #05,Grójec,mazowieckie,20.875,51.886
1999,grupa #11,Sopot,pomorskie,18.508,54.442
1999,grupa #04,Wrocław,dolnośląskie,17.002,51.085
1999,grupa #12,Krosno,podkarpackie,21.766,49.682
1999,grupa #08,Piła,wielkopolskie,16.738,53.151
1999,grupa #04,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #08,Warszawa,mazowieckie,21.146,52.238
1999,grupa #03,Poznań,wielkopolskie,16.925,52.433
1999,grupa #04,Warszawa,mazowieckie,21.003,52.238
1999,grupa #01,Pajęczno,łódzkie,19.027,51.119
1999,grupa #04,Żagań,lubuskie,15.325,51.618
1999,grupa #06,Tarnowskie Góry,śląskie,18.863,50.424
1999,grupa #11,Warszawa,mazowieckie,20.952,52.273
1999,grupa #06,Nawojowa,małopolskie,20.738,49.537
1999,grupa #06,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #11,Zdzieszowice,opolskie,18.108,50.447
1999,grupa #04,Giżycko,warmińsko-mazurskie,21.767,54.036
1999,grupa #07,Szczecin,zachodniopomorskie,14.590,53.469
1999,grupa #06,Ełk,,22.361,53.846
1999,grupa #02,Kęty,małopolskie,19.221,49.878
1999,grupa #06,Sanok,podkarpackie,22.206,49.555
1999,grupa #03,Chorzów,śląskie,18.955,50.297
1999,grupa #08,Wrocław,dolnośląskie,17.002,51.085
1999,grupa #04,Izbica Kujawska,kujawsko-pomorskie,18.763,52.421
1999,grupa #04,Kalety,śląskie,18.883,50.565
1999,grupa #08,Gdańsk,pomorskie,18.611,54.387
1999,grupa #06,Sosnowiec,śląskie,19.176,50.267
1999,grupa #07,Wrocław,dolnośląskie,17.029,51.103
1999,grupa #02,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #06,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #03,Łódź,łódzkie,19.456,51.759
1999,grupa #02,Warszawa,mazowieckie,20.952,52.273
1999,grupa #05,Poznań,wielkopolskie,16.925,52.433
1999,grupa #08,Gniew,pomorskie,18.796,53.854
1999,grupa #03,Kolbuszowa,podkarpackie,21.769,50.218
1999,grupa #06,Sosnowiec,śląskie,19.176,50.267
1999,grupa #05,Warszawa,mazowieckie,21.180,52.190
1999,grupa #04,Wrocław,dolnośląskie,17.002,51.085
1999,grupa #01,Toruń,kujawsko-pomorskie,18.598,53.014
1999,grupa #03,Białystok,podlaskie,23.144,53.112
1999,grupa #04,Gorzów Wlkp.,lubuskie,15.237,52.733
1999,grupa #04,Pleszew,wielkopolskie,17.784,51.886
1999,grupa #11,Sopot,pomorskie,18.508,54.442
1999,grupa #01,Pionki,mazowieckie,21.450,51.476
1999,grupa #02,Zławieś Wielka,kujawsko-pomorskie,18.405,53.077
1999,grupa #05,Kalisz,wielkopolskie,18.085,51.767
1999,grupa #02,Rzeszów,podkarpackie,22.058,50.032
